"last_name, first_name","player_id","year","batting_avg","slg_percent","on_base_percent","exit_velocity_avg","launch_angle_avg","hard_hit_percent","whiff_percent","swing_percent"
"Dozier, Brian",572821,2018,".215",".391",".305","86.8","17.5",29.4,22.6,39.8
"Contreras, Willson",575929,2018,".249",".390",".339","88.2","8",33.3,28.1,49.7
"Castellanos, Nick",592206,2018,".298",".500",".354","89.6","15.2",40.7,30.2,55.1
"Healy, Ryon",592387,2018,".235",".412",".277","89.6","12.3",41.6,25.4,47.5
"Machado, Manny",592518,2018,".297",".538",".367","91.6","14.4",48.2,22.2,48.9
"Realmuto, J.T.",592663,2018,".277",".484",".340","88.9","14.5",41.2,22.5,47.1
"Rosario, Eddie",592696,2018,".288",".479",".323","87.7","17.8",34.2,23.4,58
"Simmons, Andrelton",592743,2018,".292",".417",".337","88.2","7.8",36.3,13.7,45.6
"Yelich, Christian",592885,2018,".326",".598",".402","92.6","5",50.8,22.9,44.3
"Merrifield, Whit",593160,2018,".304",".438",".367","87","16.9",31.2,19,47.9
"Bogaerts, Xander",593428,2018,".288",".522",".360","90.6","12.6",41.8,21.1,43.2
"Calhoun, Kole",594777,2018,".208",".369",".283","90.4","12.1",43.1,28.5,49.2
"Profar, Jurickson",595777,2018,".254",".458",".335","87.3","12.4",31.8,18.7,48.6
"Báez, Javier",595879,2018,".290",".554",".326","90.6","9.6",43.3,33.9,57.9
"Lindor, Francisco",596019,2018,".277",".519",".352","90.6","14.7",41,17.6,47.1
"Odor, Rougned",596059,2018,".253",".424",".326","90.7","13.9",38.7,23.1,48.5
"Story, Trevor",596115,2018,".291",".567",".348","91","15.9",46.2,24.9,50.3
"Kepler, Max",596146,2018,".224",".408",".319","89.5","16.3",38.2,17.8,42.7
"Bradley Jr., Jackie",598265,2018,".234",".403",".314","92.2","12.3",50.1,30.7,47.3
"Candelario, Jeimer",600869,2018,".224",".393",".317","87.1","15.3",33.6,25.6,42.6
"Ahmed, Nick",605113,2018,".234",".411",".290","86.9","11.9",30,25.3,50.4
"Anderson, Brian",605119,2018,".273",".400",".357","90.2","8.7",42.4,24.3,46.3
"Bell, Josh",605137,2018,".261",".411",".357","90.2","9.4",39.3,24.4,43
"Betts, Mookie",605141,2018,".346",".640",".438","92.2","18.5",50.6,15.5,35.6
"Smith, Mallex",605480,2018,".296",".406",".367","85.8","3.7",23,25.6,49.6
"Hernández, Teoscar",606192,2018,".239",".468",".302","91.9","16.9",46.2,38.5,49.5
"Peraza, José",606299,2018,".288",".416",".326","85.8","15",23.6,13.8,49.9
"Marte, Ketel",606466,2018,".260",".437",".332","88.8","5.8",36.9,16.2,45.9
"Nimmo, Brandon",607043,2018,".263",".483",".404","89.9","10.7",42.1,26.5,39.4
"Turner, Trea",607208,2018,".271",".416",".344","89.1","9.3",38.6,20.2,44
"Pillar, Kevin",607680,2018,".252",".426",".282","87.3","16.8",36.7,22.4,54
"Ramírez, José",608070,2018,".270",".552",".387","89","19",35.1,13.6,38.6
"Bregman, Alex",608324,2018,".286",".532",".394","89.4","16.8",39.9,12.9,37.1
"Gallo, Joey",608336,2018,".206",".498",".312","94.3","21.9",49.5,40.8,48.6
"Mazara, Nomar",608577,2018,".258",".436",".317","90.5","5.3",43.4,25.4,46.1
"Andujar, Miguel",609280,2018,".297",".527",".328","89.2","12.3",36.5,19.7,53.1
"Swanson, Dansby",621020,2018,".238",".395",".304","88","14.1",34,25.4,50.1
"Taylor, Chris",621035,2018,".254",".444",".331","88.9","16.4",38.5,31.5,47.6
"Wendle, Joey",621563,2018,".300",".435",".354","88.8","10.7",35.7,20.6,46.7
"Olson, Matt",621566,2018,".247",".453",".335","93.3","18.1",52.2,27.5,44.4
"Duffy, Matt",622110,2018,".294",".366",".361","86.8","4.8",28.1,17.3,46.5
"Margot, Manuel",622534,2018,".245",".384",".292","89.4","11.5",37,21,46.6
"Camargo, Johan",622666,2018,".272",".457",".349","88","12.6",33.7,26.6,49.5
"Conforto, Michael",624424,2018,".243",".448",".350","88.1","12.3",37.8,27.7,43.2
"Anderson, Tim",641313,2018,".240",".406",".281","85.8","10.8",27.9,27.7,54.1
"Bellinger, Cody",641355,2018,".260",".470",".343","89.8","16.2",38.9,29.7,45.1
"Mancini III, Trey",641820,2018,".242",".416",".299","89.9","5.4",42.9,27.7,49.5
"Rosario, Amed",642708,2018,".256",".381",".295","87.8","7.7",32.3,26,54.3
"Benintendi, Andrew",643217,2018,".290",".465",".366","88.6","12.8",33.7,19.2,46
"Albies, Ozzie",645277,2018,".261",".452",".305","86.8","16.1",29.4,22.1,56.8
"Chapman, Matt",656305,2018,".278",".508",".356","93.1","14.9",47.8,23.7,41.5
"Hoskins, Rhys",656555,2018,".246",".496",".354","88.9","22.5",39.2,21.9,39.2
"Schwarber, Kyle",656941,2018,".238",".467",".356","90.9","12.3",45,30.3,41.7
"Moncada, Yoán",660162,2018,".235",".400",".315","91","15.4",44.2,31.1,41.2
"Pujols, Albert",405395,2019,".244",".430",".305","88.3","12.5",36.6,18.2,44.5
"Cabrera, Miguel",408234,2019,".282",".398",".346","90.3","12.3",44.4,24.4,49.6
"Choo, Shin-Soo",425783,2019,".265",".455",".371","91.9","9.2",49,29.3,42.4
"Jones, Adam",430945,2019,".260",".414",".313","86.2","13.5",31,26.7,54.5
"Cruz Jr., Nelson",443558,2019,".311",".639",".392","93.7","13.1",51.5,32.6,46.2
"Longoria, Evan",446334,2019,".254",".437",".325","89.7","14",40.8,25.7,46.8
"Fowler, Dexter",451594,2019,".238",".409",".346","85.5","12.9",28.7,27.1,42.9
"Cabrera, Asdrúbal",452678,2019,".260",".441",".342","89.1","14.4",35.3,20.6,45.5
"Blackmon, Charlie",453568,2019,".314",".576",".364","88.7","14.6",40.3,19.7,49.9
"Cain, Lorenzo",456715,2019,".260",".372",".325","89.5","6.9",42.1,19.2,44.7
"Turner, Justin",457759,2019,".290",".509",".372","90.3","17.8",43,17.2,45.5
"Votto, Joey",458015,2019,".261",".411",".357","88.9","15.2",38.2,19.6,41.5
"Gardner, Brett",458731,2019,".251",".503",".325","87.8","13.8",32.7,19.9,38.7
"Braun, Ryan",460075,2019,".285",".505",".343","91.5","7.3",45.3,24.9,51.6
"Gordon, Alex",460086,2019,".266",".396",".345","88.7","9.3",38.4,21.8,48.1
"Andrus, Elvis",462101,2019,".275",".393",".313","88.4","7.2",34.8,19.6,46.4
"Ramos, Wilson",467092,2019,".288",".416",".351","90","-0.1",42.5,20.5,53.9
"Santana, Carlos",467793,2019,".281",".515",".397","91.8","11.7",44.9,20.4,39.5
"Belt, Brandon",474832,2019,".234",".403",".339","87.3","22.4",35.7,22.8,46.3
"Brantley Jr., Michael",488726,2019,".311",".503",".372","88.8","10.6",37.3,10.7,43.8
"Gurriel Jr., Yuli",493329,2019,".298",".541",".343","89.3","14.3",38.1,14.8,49.7
"Rojas, Miguel",500743,2019,".284",".379",".331","87.4","9.1",28.8,16.5,47.1
"Escobar, Eduardo",500871,2019,".269",".511",".320","87.8","18.4",31.4,24.8,52.6
"Davis, Khris",501981,2019,".220",".387",".293","90.2","13.1",40.4,34.9,51.8
"Pham, Tommy",502054,2019,".273",".450",".369","90.9","5.2",45,20.2,38.4
"Martinez, J.D.",502110,2019,".304",".557",".383","91.4","12.5",48.3,26.7,49.5
"Reddick, Josh",502210,2019,".275",".409",".319","86.1","15.8",29.4,14.8,51.3
"Goldschmidt, Paul",502671,2019,".260",".476",".346","90.1","15.4",42.4,26.3,46.5
"Altuve, Jose",514888,2019,".298",".550",".353","87.4","9.7",34.5,20.7,47.6
"Hernández, César",514917,2019,".279",".408",".333","86","9.5",28.3,17.2,46
"Segura, Jean",516416,2019,".280",".420",".323","88.2","7.2",32.7,14.6,47.5
"Castro, Starlin",516770,2019,".270",".436",".300","88.5","11",37.7,19.1,49.2
"Marte, Starling",516782,2019,".295",".503",".342","88.6","8.2",38.6,25.1,53.7
"Donaldson, Josh",518626,2019,".259",".521",".379","92.9","13.3",50.5,29.9,43.9
"Freeman, Freddie",518692,2019,".295",".549",".389","89.7","14.4",42.5,24.3,52.1
"Grandal, Yasmani",518735,2019,".246",".468",".380","90.7","14.2",41.8,25.5,38.5
"Heyward, Jason",518792,2019,".251",".429",".343","88.8","11.3",36.5,22.7,45.5
"LeMahieu, DJ",518934,2019,".327",".518",".375","91.9","6.6",48.7,16,45.6
"Moustakas, Mike",519058,2019,".254",".516",".329","89.5","17.4",40.8,24.9,49.9
"Rizzo, Anthony",519203,2019,".293",".520",".405","89","12.6",37,19.7,45.7
"Galvis, Freddy",520471,2019,".260",".438",".296","88.8","14.7",36.4,28.5,54.4
"García, Avisaíl",541645,2019,".282",".464",".332","89.5","9.8",40.3,32,56.4
"Ozuna, Marcell",542303,2019,".241",".472",".328","91.8","13.5",49.2,27.6,44.9
"Villar, Jonathan",542340,2019,".274",".453",".339","88.9","8.2",37.1,27.5,49.8
"Santana, Danny",542454,2019,".283",".534",".324","91.4","13.5",43.6,32.1,55.8
"Crawford, Brandon",543063,2019,".228",".350",".304","87.8","8.3",35.1,28.3,51.3
"Hosmer, Eric",543333,2019,".265",".425",".310","90.8","2.1",46,28.9,50
"Kipnis, Jason",543401,2019,".245",".410",".304","88.1","14.1",34.4,20.4,46.3
"Rendon, Anthony",543685,2019,".319",".598",".412","90.4","19.5",46.6,12.9,43.1
"Semien, Marcus",543760,2019,".285",".522",".369","88.9","14.9",38.1,18.3,42.2
"Springer III, George",543807,2019,".292",".591",".383","89.8","10.5",44.8,26.5,44
"Vázquez, Christian",543877,2019,".276",".477",".320","89.4","13.6",40.3,20.5,49.9
"Wong, Kolten",543939,2019,".285",".423",".361","86.1","12.6",25.4,18.4,48
"Garcia, Leury",544725,2019,".279",".378",".310","88.2","6.2",29.9,24.6,54.4
"Grichuk, Randal",545341,2019,".232",".457",".280","89.3","16",39.8,28.1,50.2
"Trout, Mike",545361,2019,".291",".645",".438","90.9","22.2",44.4,19.2,36.8
"Harper, Bryce",547180,2019,".260",".510",".372","91.9","13.7",45.6,33.8,48.7
"Abreu, José",547989,2019,".284",".503",".330","92.1","10.9",48.2,25.3,49.5
"Suárez, Eugenio",553993,2019,".271",".572",".358","89.3","17.7",40.8,28.7,44.4
"Santana, Domingo",570267,2019,".253",".441",".329","89","11.3",42.1,31.9,46.8
"Sánchez, Yolmer",570560,2019,".252",".321",".318","87.1","14.2",27,22.8,48.8
"Arenado, Nolan",571448,2019,".315",".583",".379","89.4","17.7",37.6,20.9,51.4
"Muncy, Max",571970,2019,".251",".515",".374","89.8","14.5",43.4,28.9,40.1
"Voit III, Luke",572228,2019,".263",".464",".378","89.9","12.9",42.4,35.1,47.3
"Walker, Christian",572233,2019,".259",".476",".348","91.1","14.8",48.8,28.8,48.7
"Iglesias, Jose",578428,2019,".288",".407",".318","84.1","7.1",24.2,15.3,55.5
"Bryant, Kris",592178,2019,".282",".521",".382","87.6","19.2",34.1,28.4,48.5
"Castellanos, Nick",592206,2019,".289",".525",".337","88.9","13.9",41.5,26.9,54.7
"Machado, Manny",592518,2019,".256",".462",".334","91.2","13",43.7,24.2,46.7
"Moran, Colin",592567,2019,".277",".429",".322","88.2","12.5",34.8,24.7,53.7
"Pederson, Joc",592626,2019,".249",".538",".339","91.2","15.6",43.5,24.1,46.1
"Realmuto, J.T.",592663,2019,".275",".493",".328","90.3","14.4",41.1,23.8,50.7
"Rosario, Eddie",592696,2019,".276",".500",".300","89.2","16.8",36,21.3,59.3
"Yelich, Christian",592885,2019,".329",".671",".429","93.3","11.3",49.1,28.3,45.2
"Merrifield, Whit",593160,2019,".302",".463",".348","87.1","15.6",29.2,20.1,49.3
"Bogaerts, Xander",593428,2019,".309",".555",".384","90.7","13.3",44.5,20.9,41.1
"Alberto, Hanser",593643,2019,".305",".422",".329","84.4","11.9",18.5,14.5,59.1
"Polanco, Jorge",593871,2019,".295",".485",".356","88","19.1",33.1,17.5,44.9
"Calhoun, Kole",594777,2019,".232",".467",".325","89.5","14.9",42.6,32.1,48.2
"Eaton, Adam",594809,2019,".279",".428",".365","88.9","15.3",34.3,17.8,44.6
"Profar, Jurickson",595777,2019,".218",".410",".301","86.7","14",31.3,20.2,45.2
"Báez, Javier",595879,2019,".281",".531",".316","91.1","7.7",43.6,35.5,55.5
"Lindor, Francisco",596019,2019,".284",".518",".335","91","12.3",41,17.1,51.4
"Odor, Rougned",596059,2019,".205",".439",".283","91.1","17.9",45.6,29.2,47.9
"Story, Trevor",596115,2019,".294",".554",".363","91","17.5",46,26.4,48.1
"Vogelbach, Daniel",596129,2019,".208",".439",".341","88.8","17.1",38,26.9,34
"Kepler, Max",596146,2019,".252",".519",".336","89.7","18.2",42.1,20.2,49.4
"Bradley Jr., Jackie",598265,2019,".225",".421",".317","90.2","9.1",44.8,32.6,48.1
"Núñez, Renato",600524,2019,".244",".460",".311","89.9","19.9",40.9,27.4,49.5
"Ahmed, Nick",605113,2019,".254",".437",".316","87.8","7.6",34,21.3,49.5
"Anderson, Brian",605119,2019,".261",".468",".342","89.9","11.1",46,27.4,47.5
"Bell, Josh",605137,2019,".277",".569",".367","92.4","13.1",47.2,25.3,48.1
"Betts, Mookie",605141,2019,".295",".524",".391","91","19",47.4,14.5,38.3
"Smith, Mallex",605480,2019,".227",".335",".300","85.2","7.3",20.1,28.2,48.6
"Arcia, Orlando",606115,2019,".223",".350",".283","87.9","6.6",31.3,24.6,47.7
"Marte, Ketel",606466,2019,".329",".592",".389","90","11.5",40,17.6,47.8
"Turner, Trea",607208,2019,".298",".497",".353","90.4","9.9",42,23.4,46.9
"Pillar, Kevin",607680,2019,".259",".432",".287","86.4","14.1",30.8,17.8,58.9
"Ramírez, José",608070,2019,".255",".479",".327","89.2","19.8",35.7,14.6,42.5
"Bregman, Alex",608324,2019,".296",".592",".423","89.3","19.6",38,14.3,35.1
"Seager, Corey",608369,2019,".272",".483",".335","88.8","14.3",38.2,25.7,51.1
"Reyes, Franmil",614177,2019,".249",".512",".310","93.3","9.5",51,36.5,51.5
"Swanson, Dansby",621020,2019,".251",".422",".325","89.9","14.4",41.6,27.6,45.9
"Newman, Kevin",621028,2019,".308",".446",".353","85.3","8.5",24.8,13.9,51
"Olson, Matt",621566,2019,".267",".545",".351","92.7","19.4",50.4,28.1,45.4
"Alonso, Pete",624413,2019,".260",".583",".358","90.7","14.8",42.7,28,46.6
"Conforto, Michael",624424,2019,".257",".494",".363","89.2","15.9",39.2,27.1,45.8
"Frazier, Adam",624428,2019,".278",".417",".336","87.1","13.1",28.3,15.6,48.1
"Puig, Yasiel",624577,2019,".267",".458",".327","90","13.8",39.1,28.2,52.6
"Soler, Jorge",624585,2019,".265",".569",".354","92.6","15.4",50.1,32.5,44.1
"Meadows, Austin",640457,2019,".291",".558",".364","90.4","16.7",42.9,23.5,42.2
"Anderson, Tim",641313,2019,".335",".508",".357","88.3","8.7",37.6,24.5,58.6
"Bellinger, Cody",641355,2019,".305",".629",".406","91.1","17.9",45.9,23.5,44.6
"Dozier, Hunter",641531,2019,".279",".522",".348","91.1","16.7",42.9,27,44.7
"Mancini III, Trey",641820,2019,".291",".535",".364","90.3","7.8",42.7,26.9,48.1
"McMahon, Ryan",641857,2019,".250",".450",".329","91.9","8.8",48,32.4,49.6
"Rosario, Amed",642708,2019,".287",".432",".323","89.4","8.8",39.5,24.2,52
"Adames, Willy",642715,2019,".254",".418",".317","88.5","10.8",35.6,27.3,47
"Benintendi, Andrew",643217,2019,".266",".431",".343","89.1","17.6",37.7,25.2,51.4
"McNeil, Jeff",643446,2019,".318",".531",".384","89","13.8",36.7,19.9,60.1
"Albies, Ozzie",645277,2019,".295",".500",".352","88.9","15.6",34,22.9,55.6
"Robles, Victor",645302,2019,".255",".419",".326","83.3","16.7",23,23.5,49.9
"Devers, Rafael",646240,2019,".311",".555",".361","92.5","10.5",48.5,24,55
"Jiménez, Eloy",650391,2019,".267",".513",".315","91.2","9.3",47.9,32.8,49.9
"Torres, Gleyber",650402,2019,".278",".535",".337","89.1","17.6",36.8,28,51.8
"Chapman, Matt",656305,2019,".249",".506",".342","92.7","16.6",49,23.7,42
"Hoskins, Rhys",656555,2019,".226",".454",".364","89.7","24",38.7,23.2,39.2
"Schwarber, Kyle",656941,2019,".250",".531",".339","93.5","15.5",51.2,28,43.3
"DeJong, Paul",657557,2019,".233",".444",".318","87","18.3",33.9,24.2,48.8
"Moncada, Yoán",660162,2019,".315",".548",".367","93.1","12.3",47.9,31.1,47.5
"Acuña Jr., Ronald",660670,2019,".280",".518",".365","90.6","14.2",47.4,27.7,45.5
"Fletcher, David",664058,2019,".290",".384",".350","83.8","9.9",17.1,9.7,36.3
"Guerrero Jr., Vladimir",665489,2019,".272",".433",".339","89.4","6.7",38.7,24.5,46.8
"Soto, Juan",665742,2019,".282",".548",".401","92","12.5",47.8,24,40.8
"Reynolds, Bryan",668804,2019,".314",".503",".377","89.5","9.4",41.6,26.3,48
"Cabrera, Miguel",408234,2020,".250",".417",".329","93.2","12.1",49.7,31.6,47.7
"Cruz Jr., Nelson",443558,2020,".303",".595",".397","91.6","9.4",47.2,34.2,47.6
"Peralta, David",444482,2020,".300",".433",".339","89.2","6.4",36.3,21.1,46.6
"Longoria, Evan",446334,2020,".254",".425",".297","91.7","10.7",45.2,21,45
"Cabrera, Asdrúbal",452678,2020,".242",".447",".305","89.5","13.7",38.3,20.5,46.1
"Blackmon, Charlie",453568,2020,".303",".448",".356","86.9","13.5",29.7,23.3,50.2
"Solano, Donovan",456781,2020,".326",".463",".365","88.5","15.5",34.9,22,51.9
"McCutchen, Andrew",457705,2020,".253",".433",".324","89.7","18.2",41.2,22,40.6
"Votto, Joey",458015,2020,".226",".446",".354","87.4","15.4",35.7,22.5,36.2
"Santana, Carlos",467793,2020,".199",".350",".349","88","12.2",36.6,20.6,36.3
"Brantley Jr., Michael",488726,2020,".300",".476",".364","88.7","10.2",37.3,16.3,39.9
"Gurriel Jr., Yuli",493329,2020,".232",".384",".274","89.3","13.9",36.5,15.6,48.8
"Escobar, Eduardo",500871,2020,".212",".335",".270","88.6","18.1",31.7,21.6,51.4
"Martinez, J.D.",502110,2020,".213",".389",".291","89.5","14.7",41.6,28.1,51.9
"Reddick, Josh",502210,2020,".245",".378",".316","85.9","19.1",29.3,22.6,46.5
"Goldschmidt, Paul",502671,2020,".304",".466",".417","89.2","11.7",40.9,23.7,40.6
"Gonzalez, Marwin",503556,2020,".211",".320",".286","89.2","12.6",38.4,23.5,43
"Altuve, Jose",514888,2020,".219",".344",".286","86.7","9.3",33.3,20.2,50
"Hernández, César",514917,2020,".283",".408",".355","89.1","5.6",37.3,19.8,43.6
"Segura, Jean",516416,2020,".266",".422",".347","87.7","11.2",38.5,22.4,46.8
"Marte, Starling",516782,2020,".281",".430",".340","87.1","6.5",30.3,25.4,52.7
"Freeman, Freddie",518692,2020,".341",".640",".462","92.4","17.2",54.2,20.1,48.2
"Grandal, Yasmani",518735,2020,".230",".422",".351","90.3","15.6",43.8,30.7,34.1
"LeMahieu, DJ",518934,2020,".364",".590",".421","91.3","2.3",45.7,11.2,44.1
"Rizzo, Anthony",519203,2020,".222",".414",".342","87.7","16.7",34.7,19.3,42.5
"Flores, Wilmer",527038,2020,".268",".515",".315","87.9","19",34.4,17.8,48
"García, Avisaíl",541645,2020,".238",".326",".333","87.4","8.7",37.1,34.7,54.6
"Ozuna, Marcell",542303,2020,".338",".636",".431","93","16.4",54.4,31.4,46.3
"Villar, Jonathan",542340,2020,".232",".292",".301","86.7","1.6",35.8,32,51.6
"Aguilar, Jesús",542583,2020,".277",".457",".352","89.3","16",37.5,22.3,47.3
"Crawford, Brandon",543063,2020,".256",".465",".326","88.7","12.4",39.4,31.5,54.6
"Grossman, Robbie",543257,2020,".241",".482",".344","89","15.2",37.5,18.4,43.4
"Hicks, Aaron",543305,2020,".225",".414",".379","88.2","11.1",38.2,27.9,39.4
"Rendon, Anthony",543685,2020,".286",".497",".418","90.1","19.5",40.5,14.7,40.5
"Semien, Marcus",543760,2020,".223",".374",".305","86.2","19.3",28.6,23.3,44.1
"Springer III, George",543807,2020,".265",".540",".359","88.7","18.3",42.5,25.3,47.7
"Vázquez, Christian",543877,2020,".283",".457",".344","88.4","14.4",40,22.9,47.6
"Wong, Kolten",543939,2020,".265",".326",".350","86.5","10.8",26.6,15.8,43.9
"Gregorius, Didi",544369,2020,".284",".488",".339","83.8","17.8",27.9,19,53.5
"Grichuk, Randal",545341,2020,".273",".481",".312","88.9","12.6",39.6,23.1,51.7
"Trout, Mike",545361,2020,".281",".603",".390","93.7","23.1",55.1,19.5,36.7
"Ruiz, Rio",547004,2020,".222",".427",".286","87.9","10.5",39,27.3,52
"Harper, Bryce",547180,2020,".268",".542",".420","92.5","16",50.7,28.6,45.9
"Abreu, José",547989,2020,".317",".617",".370","92.9","10.9",53.3,30.1,48.5
"Suárez, Eugenio",553993,2020,".202",".470",".312","89.1","17.9",44.7,31.7,41.7
"González, Erik",570481,2020,".227",".359",".255","88.5","5.5",44,32,53.4
"Arenado, Nolan",571448,2020,".253",".434",".303","87.8","19.1",33.7,17.9,48.1
"Muncy, Max",571970,2020,".192",".389",".331","88.5","14.2",40,26.8,36.6
"Myers, Wil",571976,2020,".288",".606",".353","91","13.4",45.8,25.9,42.6
"Pollock, AJ",572041,2020,".276",".566",".314","89.6","13",43.1,24.7,47.7
"Seager, Kyle",572122,2020,".241",".433",".355","89.1","17.7",39.8,20.4,40.3
"Voit III, Luke",572228,2020,".277",".610",".338","88.9","15.2",40,27.6,52.1
"Walker, Christian",572233,2020,".271",".459",".333","90.4","11.5",48.5,27.1,51.8
"Dickerson, Corey",572816,2020,".258",".402",".311","85.7","11.1",30.8,25.7,53.4
"Yastrzemski, Mike",573262,2020,".297",".568",".400","88.2","18.4",42.3,24.7,39.1
"Contreras, Willson",575929,2020,".243",".407",".356","89.8","9.1",47.8,33.8,47.9
"Canha, Mark",592192,2020,".246",".408",".387","89.7","19.4",39.4,24,38
"Castellanos, Nick",592206,2020,".225",".486",".298","91","16.5",46.7,34.2,51.8
"Machado, Manny",592518,2020,".304",".580",".370","90.2","15.6",43.5,21.7,46.7
"Moran, Colin",592567,2020,".247",".472",".325","91.9","8.3",47.2,28,49.9
"Realmuto, J.T.",592663,2020,".266",".491",".349","90.2","11.6",42.4,29.8,45.3
"Rosario, Eddie",592696,2020,".257",".476",".316","87.5","18.1",35.4,22.6,51.9
"Yelich, Christian",592885,2020,".205",".430",".356","94","7.1",55.6,33.6,34.6
"Merrifield, Whit",593160,2020,".282",".440",".325","86.1","15.8",27.3,16.3,49.3
"Bogaerts, Xander",593428,2020,".300",".502",".364","89","8.7",36.8,23,43.6
"Alberto, Hanser",593643,2020,".283",".393",".306","82.3","13.2",20.7,16.9,62.9
"Polanco, Jorge",593871,2020,".258",".354",".304","86.6","16.1",33.3,16.8,43.7
"Sanó, Miguel",593934,2020,".204",".478",".278","95.2","20.2",57.3,42.6,47.3
"Calhoun, Kole",594777,2020,".226",".526",".338","89.4","17",38.2,32.7,46.8
"Duvall, Adam",594807,2020,".237",".532",".301","88.1","22.9",40.1,27.1,49
"Profar, Jurickson",595777,2020,".278",".428",".343","87.2","11",27.7,20.1,47.1
"Báez, Javier",595879,2020,".203",".360",".238","89.4","10.3",40.3,38.2,53.2
"Lindor, Francisco",596019,2020,".258",".415",".335","89.9","13.5",41.1,20.3,48.9
"Story, Trevor",596115,2020,".289",".519",".355","89.9","20.8",41.3,25.7,45.8
"Kepler, Max",596146,2020,".228",".439",".321","88.5","22.2",38.2,21.2,44.8
"Franco, Maikel",596748,2020,".278",".457",".321","86.7","8.4",38.6,24.6,49.9
"Bradley Jr., Jackie",598265,2020,".283",".450",".364","88.4","4.3",36.4,26.1,45.3
"La Stella, Tommy",600303,2020,".281",".449",".370","88","17.1",28.3,11.2,38.1
"Núñez, Renato",600524,2020,".256",".492",".324","86.3","21.1",36.4,30.1,52.1
"Candelario, Jeimer",600869,2020,".297",".503",".369","90.2","13.3",47.1,27.9,45
"Ahmed, Nick",605113,2020,".266",".402",".327","87.7","9.4",33.3,27.4,48.2
"Anderson, Brian",605119,2020,".255",".465",".345","87.4","9.6",39.3,34.4,49.1
"Bell, Josh",605137,2020,".226",".364",".305","91.7","5.9",42.9,33.6,45.9
"Betts, Mookie",605141,2020,".292",".562",".366","90.7","18.5",43.4,13.8,40.5
"Davis, J.D.",605204,2020,".247",".389",".371","90.1","3.3",45.2,29.3,44.9
"Arcia, Orlando",606115,2020,".260",".416",".317","89","9.6",38.7,23.1,46.8
"Tapia, Raimel",606132,2020,".321",".402",".369","85.3","1.8",30,18.7,51.1
"Hernández, Teoscar",606192,2020,".289",".579",".340","93.3","15.3",53.1,34.9,46.4
"Marte, Ketel",606466,2020,".287",".409",".323","89.2","10",40.5,14.1,45
"Nimmo, Brandon",607043,2020,".280",".484",".404","87.2","7.6",32.9,21.6,41.6
"Turner, Trea",607208,2020,".335",".588",".394","90.5","9.5",40.7,19.6,46.9
"Pillar, Kevin",607680,2020,".288",".462",".336","87.1","13.4",36.5,25.3,51.9
"Ramírez, José",608070,2020,".292",".607",".386","88.7","23.2",35.6,16.6,41.4
"Gallo, Joey",608336,2020,".181",".378",".301","91.2","26.8",43.9,37.4,43.6
"Seager, Corey",608369,2020,".307",".585",".358","93.2","11.9",55.9,25.8,55.6
"Mondesi, Adalberto",609275,2020,".256",".416",".294","90.6","13.7",39.1,40,54.5
"Reyes, Franmil",614177,2020,".275",".450",".344","92.4","11.2",44.9,38.5,46
"Swanson, Dansby",621020,2020,".274",".464",".345","89.1","14.7",40.7,31.6,47.2
"Taylor, Chris",621035,2020,".270",".476",".366","88","9.1",45,32.5,44.9
"Correa, Carlos",621043,2020,".264",".383",".326","88.8","11.3",42.1,24.4,47.1
"Olson, Matt",621566,2020,".195",".424",".310","92.3","19.6",45.9,34.8,42.7
"Reyes, Victor",622682,2020,".277",".391",".315","90","10.7",41.4,26.4,54.2
"Alonso, Pete",624413,2020,".231",".490",".326","90.2","15.5",41.2,30.4,46.1
"Biggio, Cavan",624415,2020,".250",".432",".375","87.4","16.7",30.8,23,36.3
"Conforto, Michael",624424,2020,".322",".515",".412","88.4","11",36.6,26,44.2
"Frazier, Adam",624428,2020,".230",".364",".297","85.5","12.3",25.1,16.6,46.2
"Cronenworth, Jake",630105,2020,".285",".477",".354","89.8","10.6",42.7,16.7,39.8
"Anderson, Tim",641313,2020,".322",".529",".357","87.2","6.7",35.8,30.9,55.2
"Bellinger, Cody",641355,2020,".239",".455",".333","89.3","16.6",41.5,23.3,47.6
"Crawford, J.P.",641487,2020,".255",".338",".336","85.8","11.5",31.1,18.2,41.1
"Dozier, Hunter",641531,2020,".228",".392",".344","86.4","17",30.9,30.9,41.9
"Lewis, Kyle",641786,2020,".262",".437",".364","88.3","11.1",35,36.3,43.2
"McMahon, Ryan",641857,2020,".215",".419",".295","90.1","9.2",43,31.7,47.3
"Smith, Dominic",642086,2020,".316",".616",".377","89.8","10.8",46.7,26,51.9
"Adames, Willy",642715,2020,".259",".481",".332","88.8","12.5",40.5,38.7,46.2
"Kiner-Falefa, Isiah",643396,2020,".280",".370",".329","87.2","0.8",31.1,15.8,47.4
"McNeil, Jeff",643446,2020,".311",".454",".383","86.6","11.5",26.5,17.5,57
"Robles, Victor",645302,2020,".220",".315",".293","82.2","19",22.9,27.9,50.3
"Devers, Rafael",646240,2020,".263",".483",".310","93","10.6",43.6,31.7,55
"Jiménez, Eloy",650391,2020,".296",".559",".332","92.4","5.7",55.7,29.2,54.4
"Schwarber, Kyle",656941,2020,".188",".393",".308","92.8","8.8",47.2,28,42.9
"Verdugo, Alex",657077,2020,".308",".478",".367","87","5.9",34.4,18.7,42.8
